,Angle (degrees),Electron Density (m^-3)
0,-3.093773255141251,3701169025472533.0
1,-1.5652763822155578,3739743342458711.0
2,-0.0381977388170611,3625209934563685.0
3,1.4898027537741072,3610206218746596.0
4,3.017235954554401,3536113957495585.0
5,4.544172775000185,3413630142638095.5
6,6.070187746253296,3207740239875050.0
7,7.442732554795697,2957001835143207.0
8,8.50921161279176,2691227707526654.5
9,9.575217927612108,2415713678679901.0
10,10.793920288192908,2160924094278125.5
11,12.0124453700828,1923012582895275.0
12,13.23167956673629,1747151227016390.8
13,14.450913763389783,1587372561789994.5
14,15.82278491290677,1434748572514908.0
15,17.347665300538132,1304215378503138.8
16,18.87360936031488,1223014112929638.2
17,20.39934068566256,1139756015667079.2
18,21.924079250341197,1031773233489231.0
19,23.449739664212508,959542258346138.0
20,24.975683723989256,899800556911528.2
21,26.34782079154259,819634723603397.1
22,27.719886947619564,745064488480341.6
23,29.24576009591996,697228996605376.6
24,30.771845978649424,656536300543897.9
25,32.29779003842617,615659939646900.2
26,33.66996256171768,561390778490945.0
27,35.04206417353284,510844918778207.6
28,36.56772458740414,475082383530554.1
29,38.09338500127545,441823463138067.6
30,39.618903592194044,409192318807346.3
31,41.14420944868357,376620922433913.0
32,42.66951530517309,346642184360634.1
33,44.19411204689901,312501873422638.9
34,45.71899243453038,284070503317829.25
35,47.24401464511445,259298979625316.25
36,48.76932050160397,238658978685857.3
37,50.29498091547528,221951265985425.03
38,51.82078315229931,207271040131472.5
39,53.34630174321791,191962909644080.84
40,54.87174942266013,177417087509450.62
41,56.39726801357874,164313839103089.56
42,57.92307025040277,153445848518517.2
43,59.45071618561215,151234582877884.03
44,60.97829120934516,148746414801064.53
45,62.50579532160181,145996123690220.9
46,64.03173938137856,136906313672739.98
47,65.55825073296619,130529968917709.44
48,67.08561302227012,127586258360934.12
49,68.61205346238138,121392004649689.72
50,70.13806843363452,114070359659110.69
51,71.66507616555666,110347779621021.23
52,73.19165842862063,105426777596767.8
53,74.7173897539683,98249728035006.23
54,76.24269561045782,90429124645535.28
55,77.76793055547097,83058621915914.81
56,79.29359096934229,77243967047674.7
57,80.82031505535899,74105945876231.83
58,82.34781916761565,72735741932314.28
59,83.87390505034513,68490632429312.586
60,85.40020366750367,64895742676304.2
61,86.92820416009484,64627157601665.91
62,88.45471551168247,61617179271587.125
63,89.98058865998286,57661161874467.73
64,91.50837641814496,57066404498825.3
65,93.03651873368884,57066404498825.3
66,94.56423558037456,56360787927141.98
67,96.09166878115488,55204095491755.17
68,97.61881833602972,53624497794714.78
69,99.1440532810429,49253787485179.72
70,100.05923679493658,46862538930340.57
