Anode Voltage (V),Total flow rate (mg/s),Anode-cathode flow ratio,Background pressure (torr),Cathode coupling voltage (V),Error (V)
300,5.627,12,1.67E-06,31.2,0.3
300,5.69,12,4.11E-06,31.95,0.3
300,5.643,12,6.97E-06,32.02,0.3
300,5.665,12,1.23E-05,32.84,0.3
300,5.633,12,1.58E-05,32.83,0.3
300,5.476,12,2.51E-05,33.09,0.3
300,5.364,12,3.82E-05,32.58,0.3
300,5.242,12,5.51E-05,32.1,0.3
300,5.657,12,3.45E-06,31.12,0.3
300,5.65,12,4.27E-06,31.29,0.3
300,5.628,12,8.04E-06,31.89,0.3
300,5.58,12,1.44E-05,32.3,0.3
300,5.5,12,2.49E-05,33.11,0.3
300,5.337,12,4.91E-05,32.46,0.3
300,5.12,12,7.37E-05,32.13,0.3
