N,Anode voltage (V),Anode flow rate (mg/s),Background temperature (K),Background pressure (torr),Radial position from thruster exit (m),Angular position from thruster centerline (deg),Ion current density (mA/cm^2),Variance (mA/cm^2)^2
1,300,5.627,300,1.69E-06,1,-10,0.6081,0.003697856
2,300,5.627,300,1.69E-06,1,-5,0.7646,0.005846132
3,300,5.627,300,1.69E-06,1,0,0.8068,0.006509262
4,300,5.627,300,1.69E-06,1,5,0.7282,0.005302752
5,300,5.627,300,1.69E-06,1,10,0.5359,0.002871888
6,300,5.627,300,1.69E-06,1,15,0.3445,0.001186803
7,300,5.627,300,1.69E-06,1,20,0.2276,0.000518018
8,300,5.627,300,1.69E-06,1,25,0.163,0.00026569
9,300,5.627,300,1.69E-06,1,30,0.12,0.000144
10,300,5.627,300,1.69E-06,1,35,0.08833,7.80219E-05
11,300,5.627,300,1.69E-06,1,40,0.0627,3.93129E-05
12,300,5.627,300,1.69E-06,1,45,0.04613,2.12798E-05
13,300,5.627,300,1.69E-06,1,50,0.03276,1.07322E-05
14,300,5.627,300,1.69E-06,1,55,0.02412,5.81774E-06
15,300,5.627,300,1.69E-06,1,60,0.0179,3.2041E-06
16,300,5.627,300,1.69E-06,1,65,0.01456,2.11994E-06
17,300,5.627,300,1.69E-06,1,70,0.01271,1.61544E-06
18,300,5.627,300,1.69E-06,1,75,0.01015,1.03023E-06
19,300,5.627,300,1.69E-06,1,80,0.00644,4.14736E-07
20,300,5.627,300,1.69E-06,1,85,0.004793,2.29728E-07
21,300,5.627,300,1.69E-06,1,90,0.003665,1.34322E-07
22,300,5.627,300,1.69E-06,1,95,0.002879,8.28864E-08
23,300,5.627,300,1.69E-06,1,100,0.002443,5.96825E-08
24,300,5.627,300,1.69E-06,1,105,0.001983,3.93229E-08
25,300,5.627,300,1.69E-06,1,110,0.001595,2.54403E-08
26,300,5.627,300,1.69E-06,1,115,0.001276,1.62818E-08
27,300,5.627,300,1.69E-06,1,120,0.001047,1.09621E-08
28,300,5.627,300,1.69E-06,1,125,0.0009226,8.51191E-09
29,300,5.627,300,1.69E-06,1,130,0.0008061,6.49797E-09
30,300,5.627,300,1.69E-06,1,135,0.0006758,4.56706E-09
