N,Anode Voltage (V),Anode flow rate (mg/s),Background temperature (K),Background pressure (torr),Thrust (mN),Variance (mN^2)
1,300,3.45,300,1.05009E-05,44.3,0.04906225
2,300,3.87,300,1.12509E-05,58.8,0.086436
3,300,4.17,300,1.12509E-05,64.1,0.10272025
4,299,4.42,300,1.2001E-05,68.6,0.117649
5,299,4.66,300,1.2001E-05,72.8,0.132496
6,299,4.93,300,1.27511E-05,78.2,0.152881
7,299,5.18,300,1.35011E-05,82.7,0.17098225
8,299,5.42,300,1.35011E-05,86.6,0.187489
9,299,5.64,300,1.42512E-05,91.7,0.21022225
10,301,4.96,300,1.27511E-05,77.8,0.151321
11,300,3.55,300,1.05009E-05,54.5,0.07425625
12,300,3.8,300,1.05009E-05,59.6,0.088804
13,300,4.08,300,1.12509E-05,65.1,0.10595025
14,300,4.37,300,1.12509E-05,70.6,0.124609
15,300,4.7,300,1.2001E-05,77.4,0.149769
16,300,5.12,300,1.27511E-05,85.7,0.18361225
17,300,5.62,300,1.35011E-05,95.4,0.227529
18,300,4.7,300,1.2001E-05,76.8,0.147456
19,300,3.35,300,1.12509E-05,52.5,0.06890625
20,300,3.67,300,1.2001E-05,60.6,0.091809
21,300,3.91,300,1.27511E-05,64.4,0.103684
22,301,4.16,300,1.35011E-05,64.9,0.10530025
23,300,4.38,300,1.42512E-05,68.4,0.116964
24,300,4.64,300,1.42512E-05,73.7,0.13579225
25,300,5,300,1.35011E-05,86.9,0.18879025
26,300,5.23,300,1.42512E-05,92,0.2116
27,300,5.45,300,1.50012E-05,96.5,0.23280625
28,300,4.17,300,1.27511E-05,69.1,0.11937025
29,250,5.55,300,1.57513E-05,76,0.1444
30,250,5.3,300,1.50012E-05,72.8,0.132496
31,250,5.1,300,1.42512E-05,70,0.1225
32,250,4.94,300,1.35011E-05,68.1,0.11594025
33,250,4.64,300,1.35011E-05,64,0.1024
34,250,4.41,300,1.27511E-05,61.1,0.09333025
35,250,4.17,300,1.2001E-05,57.4,0.082369
36,250,3.89,300,1.12509E-05,52.4,0.068644
37,250,3.61,300,1.12509E-05,47.5,0.05640625
38,250,4.93,300,1.42512E-05,67.4,0.113569
39,250,5.53,300,1.50012E-05,83.7,0.17514225
40,250,5.35,300,1.42512E-05,80.2,0.160801
41,250,5.12,300,1.42512E-05,76.2,0.145161
42,250,4.87,300,1.35011E-05,72.2,0.130321
43,250,4.71,300,1.35011E-05,68.7,0.11799225
44,250,4.38,300,1.27511E-05,63.5,0.10080625
45,250,4.12,300,1.2001E-05,59.1,0.08732025
46,250,3.83,300,1.12509E-05,54.3,0.07371225
47,250,3.58,300,1.12509E-05,50,0.0625
48,250,4.71,300,1.35011E-05,69,0.119025
49,201,5.51,300,1.65014E-05,62.5,0.09765625
50,201,5.3,300,1.65014E-05,60.2,0.090601
51,201,5.05,300,1.57513E-05,58.4,0.085264
52,201,4.82,300,1.42512E-05,55.9,0.07812025
53,201,4.59,300,1.42512E-05,53.1,0.07049025
54,201,4.34,300,1.35011E-05,50.5,0.06375625
55,201,4.11,300,1.27511E-05,47.1,0.05546025
56,201,3.87,300,1.2001E-05,43.5,0.04730625
57,201,3.61,300,1.12509E-05,40,0.04
58,201,5.48,300,1.57513E-05,70.4,0.123904
59,201,5.25,300,1.50012E-05,67.3,0.11323225
60,201,5.05,300,1.50012E-05,64.1,0.10272025
61,201,4.81,300,1.42512E-05,60.7,0.09211225
62,201,4.58,300,1.35011E-05,57.4,0.082369
63,201,4.36,300,1.35011E-05,54.2,0.073441
64,201,4.08,300,1.27511E-05,50.1,0.06275025
65,201,3.83,300,1.2001E-05,46.5,0.05405625
66,201,3.56,300,1.12509E-05,42.5,0.04515625
67,300,5.14,300,1.2001E-05,81.6,0.166464
68,300,5.13,300,2.25019E-05,85.2,0.181476
69,300,5.13,300,2.70022E-05,86.2,0.185761
70,300,5.13,300,3.07525E-05,87,0.189225
71,300,5.13,300,4.27535E-05,90.5,0.20475625
72,301,5.13,300,4.8754E-05,80.1,0.16040025
