,Angle (degrees),Ion Energy (V)
0,-85.22439171176823,12.827772103293512
1,-80.16270465227656,16.308778591983867
2,-75.39472513127838,23.250193897833867
3,-70.32998656489326,29.50044289231988
4,-65.2644851217848,36.44300251325495
5,-59.899173126395965,45.46363832862187
6,-54.8260429160539,59.32930421404626
7,-49.7498611988184,75.96421260526637
8,-45.26338318873995,97.44300675145897
9,-39.87899927526711,123.7714082280493
10,-35.09499934307837,145.25134668932697
11,-30.016528995672783,163.96318695989387
12,-24.93958440171393,181.29040597756293
13,-20.163976113482164,195.15492754790236
14,-15.072536861779454,225.6360484681012
15,-10.015427062627936,224.96319119809797
16,9.91854171876126,225.0398603087956
17,14.97717727135948,225.75162429169015
18,20.299768170240185,196.00286502591663
19,25.044098512814216,181.4826509118496
20,30.379658315992017,163.50317229570803
21,34.822652352838944,145.52026073431128
22,39.85611297356631,123.38577404439098
23,44.88575921067688,97.789734222226
24,49.91998270812762,76.34755815875468
25,54.95954634264184,59.751556480425904
26,59.70463956193923,45.92365299280783
27,64.75335771713377,37.635378831866205
28,69.50531682694144,30.03827098228857
29,74.85384553441632,23.828073015778894
30,80.20084848844455,16.233253796371287
31,84.65986293648204,12.788865390402236
32,89.71773561235692,12.808318746847874
