z(m),mean_ui (m/s),std_ui (m/s) ,mean_Ti (eV),std_Ti (eV)
0.017,165.381952,31.51345008,0.631933364,0.026369391
0.019,1749.343417,43.70559357,1.25169706,0.053252872
0.021,4752.473168,58.23516437,2.483044421,0.10333775
0.023,9898.130876,58.36245347,2.465914618,0.126774492
0.025,12973.98062,48.78876277,1.603180775,0.075059196
0.027,13905.20509,49.14766304,1.580493287,0.080765325
0.029,15522.81635,45.29754564,1.381381582,0.067778095
0.031,16284.25009,42.90901807,1.226102247,0.060467719
0.035,17481.97697,44.46901113,1.125891478,0.056491338
0.039,18266.51766,46.6917364,1.104833519,0.057338009
0.043,18337.70466,47.43584956,1.115355384,0.059017438
0.047,18750.55973,46.96398984,1.364201577,0.06706065
0.055,18793.10348,47.48728344,1.297000835,0.066169675
0.065,18706.67168,44.83869543,0.955753096,0.051196802
0.075,19239.2751,48.39102105,1.153669459,0.061941396
