Operating condition,Anode voltage (V),Anode flow rate (mg/s),Background pressure (Torr),Thrust (mN),Thrust relative uncertainty,Anode current (A)
1,201,5.51,1.65E-05,62.5,0.01,4.99
2,201,5.3,1.65E-05,60.2,0.01,4.76
3,201,5.05,1.58E-05,58.4,0.01,4.5
4,201,4.82,1.43E-05,55.9,0.01,4.25
5,201,4.59,1.43E-05,53.1,0.01,4.01
6,201,4.34,1.35E-05,50.5,0.01,3.74
7,201,4.11,1.28E-05,47.1,0.01,3.48
8,201,3.87,1.20E-05,43.5,0.01,3.25
9,201,3.61,1.13E-05,40,0.01,2.98
10,201,5.48,1.58E-05,70.4,0.01,4.98
11,201,5.25,1.50E-05,67.3,0.01,4.73
12,201,5.05,1.50E-05,64.1,0.01,4.49
13,201,4.81,1.43E-05,60.7,0.01,4.24
14,201,4.58,1.35E-05,57.4,0.01,3.98
15,201,4.36,1.35E-05,54.2,0.01,3.75
16,201,4.08,1.28E-05,50.1,0.01,3.49
17,201,3.83,1.20E-05,46.5,0.01,3.25
18,201,3.56,1.13E-05,42.5,0.01,2.99
19,250,5.55,1.58E-05,76,0.01,5.02
20,250,5.3,1.50E-05,72.8,0.01,4.74
21,250,5.1,1.43E-05,70,0.01,4.51
22,250,4.94,1.35E-05,68.1,0.01,4.32
23,250,4.64,1.35E-05,64,0.01,4
24,250,4.41,1.28E-05,61.1,0.01,3.75
25,250,4.17,1.20E-05,57.4,0.01,3.5
26,250,3.89,1.13E-05,52.4,0.01,3.25
27,250,3.61,1.13E-05,47.5,0.01,2.98
28,250,4.93,1.43E-05,67.4,0.01,4.31
29,250,5.53,1.50E-05,83.7,0.01,4.95
30,250,5.35,1.43E-05,80.2,0.01,4.75
31,250,5.12,1.43E-05,76.2,0.01,4.49
32,250,4.87,1.35E-05,72.2,0.01,4.24
33,250,4.71,1.35E-05,68.7,0.01,4.07
34,250,4.38,1.28E-05,63.5,0.01,3.75
35,250,4.12,1.20E-05,59.1,0.01,3.5
36,250,3.83,1.13E-05,54.3,0.01,3.25
37,250,3.58,1.13E-05,50,0.01,3.01
38,250,4.71,1.35E-05,69,0.01,4.07
39,299,4.42,1.20E-05,68.6,0.01,3.75
40,299,4.66,1.20E-05,72.8,0.01,3.97
41,299,4.93,1.28E-05,78.2,0.01,4.25
42,299,5.18,1.35E-05,82.7,0.01,4.5
43,299,5.42,1.35E-05,86.6,0.01,4.75
44,299,5.64,1.43E-05,91.7,0.01,4.98
45,299,4.94,1.20E-05,85.4,0.01,4.51
46,299,5.19,1.20E-05,88.7,0.01,4.76
47,299,4.92,1.20E-05,84,0.01,4.46
48,299,4.97,1.20E-05,81.3,0.01,4.49
