N,Anode voltage (V),Anode flow rate (mg/s),Background pressure (torr),Axial position from anode (m),Avg axial ion velocity (m/s),Variance (m/s)^2
1,300,5,2.03E-05,0.012985278,8.324174927,62500
2,300,5,2.03E-05,0.014979598,-23.23152088,62500
3,300,5,2.03E-05,0.016972829,130.7385121,62500
4,300,5,2.03E-05,0.01744116,280.464848,62500
5,300,5,2.03E-05,0.018495337,543.1388124,62500
6,300,5,2.03E-05,0.018906976,358.7556175,62500
7,300,5,2.03E-05,0.019608818,694.6605586,62500
8,300,5,2.03E-05,0.020719687,1291.444054,62500
9,300,5,2.03E-05,0.021651125,2481.420224,62500
10,300,5,2.03E-05,0.02206124,2556.773049,62500
11,300,5,2.03E-05,0.022582562,3671.396394,62500
12,300,5,2.03E-05,0.022988542,4451.746989,62500
13,300,5,2.03E-05,0.023503117,6716.629852,62500
14,300,5,2.03E-05,0.024076561,8944.570788,62500
15,300,5,2.03E-05,0.024593748,10764.1919,62500
16,300,5,2.03E-05,0.024590701,11283.66394,62500
17,300,5,2.03E-05,0.025055331,12064.17776,62500
18,300,5,2.03E-05,0.025576218,13253.01139,62500
19,300,5,2.03E-05,0.025981545,14144.67742,62500
20,300,5,2.03E-05,0.026505914,14739.82873,62500
21,300,5,2.03E-05,0.027031806,15075.24401,62500
22,300,5,2.03E-05,0.02802494,15745.91136,62500
23,300,5,2.03E-05,0.029077377,16305.42649,62500
24,300,5,2.03E-05,0.030131119,16642.31075,62500
25,300,5,2.03E-05,0.035166103,18177.65857,62500
26,300,5,2.03E-05,0.040148529,18673.89909,62500
27,300,5,2.03E-05,0.050114471,19480.8544,62500
28,300,5,2.03E-05,0.057621462,19538.85159,62500
